atributo	valores	descrição	definição	ndd1	ndd2	ver	pag	tema_id	tema	entidade_id	entidade	classe	dimensao
valoresterotipovaziovoidable	995	Não aplicável	Não se aplica nenhuma das opções disponíveis.	FALSE	FALSE								
valoresterotipovaziovoidable	996	Desconhecido	O valor não é conhecido.	FALSE	FALSE								
valoresterotipovaziovoidable	997	Não preenchido	O valor não faz parte do conjunto de dados geográficos.	FALSE	FALSE								
valoresterotipovaziovoidable	998	Confidencial	O valor pode existir mas é confidencial.	FALSE	FALSE								
valoragualentica	1	Lagoa	Extensão de água, normalmente de pouca profundidade, rodeada de terra por todos os lados, que ocupa permanentemente uma depressão do terreno.	TRUE	TRUE	v1.0	87	04	Hidrografia	04.01	Água lêntica	AguaLentica	3D
valoragualentica	2	Albufeira	Extensão de água junto à costa resultante da ação do mar ou lago artificial criado por barragem ou represa construída num curso de água.	TRUE	TRUE	v1.0	87	04	Hidrografia	04.01	Água lêntica	AguaLentica	3D
valoragualentica	3	Charca	Escavação em terreno feita com o objetivo de captação e gestão de águas para fins agrícolas.	TRUE	FALSE	v1.0	87	04	Hidrografia	04.01	Água lêntica	AguaLentica	3D
valorareasagricolasflorestaismatos	1	Agricultura	Área utilizada para agricultura, constituída por terras aráveis e culturas permanentes.	TRUE	FALSE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	1.1	Cultura temporária de sequeiro e regadio	Cultura agrícola temporária irrigada e não irrigadas	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	1.2	Arrozal	Área de uso agrícola preparada para o cultivo do arroz.	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	1.3	Vinha	Área com plantações de vinha.	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	1.5	Pomar	Área com árvores ou arbustos de uma ou várias espécies, destinados à produção de fruto.	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	1.6	Olival	Área de plantação de oliveiras (Olea europea var. europea) para produção de azeitona.	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	2	Pastagem	Área ocupada com vegetação essencialmente do tipo herbácea.	FALSE	FALSE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	2.1	Pastagem permanente	Área permanentemente ocupada com vegetação essencialmente do tipo herbácea (cultivada ou natural).	TRUE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	2.2	Vegetação herbácea natural	Área de vegetação herbácea que se desenvolvem sem adubação, cultivo, sementeira ou drenagem.	TRUE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	3	Sistema agroflorestal	Área de terrenos dedicados aos usos florestais e agrícolas.	TRUE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4	Floresta	Área de terreno coberto de árvores e de outras formações vegetais.	FALSE	FALSE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1	Floresta de folhosas	Floresta de espécies arbóreas angiospérmicas.	TRUE	FALSE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.1	Sobreiro	Área ocupada por conjuntos de árvores da espécie sobreiro (Quercus suber).	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.2	Azinheira	Área ocupada por conjuntos de árvores da espécie azinheira (Quercus rotundifolia).	FALSE	TRUE	v1.0	87	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.3	Carvalho	Área ocupada por conjuntos de árvores florestais das espécies carvalho-negral (Quercus pyrenaica), carvalho-alvarinho (Quercus robur), carvalho-português (Quercus faginea), ou de outros carvalhos.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.4	Castanheiro	Área ocupada por conjuntos de árvores da espécie castanheiro (Castanea sativa) resultantes de regeneração natural, sementeira ou plantação.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.5	Eucalipto	Área ocupada por conjuntos de árvores da espécie eucalipto (Eucalyptus spp.) resultantes de regeneração natural, sementeira ou plantação.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.6	Espécie invasora	Área ocupada por conjuntos de árvores de espécie de carácter invasor.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.1.7	Outras folhosas	Área ocupada por conjuntos de árvores em que se verifica a dominância numa espécie de outras folhosas não discriminadas nas restantes classes de folhosas (inclui floresta de nogueira (Juglans regia) desde que explorada para a produção de madeira)	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.2	Floresta de resinosas	Floresta de espécies arbóreas gimnospérmicas.	TRUE	FALSE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.2.1	Pinheiro manso	Área ocupada por conjuntos de árvores da espécie pinheiro manso (Pinus pinea) resultantes de regeneração natural, sementeira ou plantação.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.2.2	Pinheiro bravo	Área ocupada por conjuntos de árvores da espécie pinheiro bravo (Pinus pinaster) resultantes de regeneração natural, sementeira ou plantação.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	4.2.3	Outras resinosas	Área ocupada por conjuntos de árvores em que se verifica a dominância numa espécie de outras resinosas não discriminadas nas restantes classes de resinosas.	FALSE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasagricolasflorestaismatos	5	Mato	Área natural de vegetação espontânea (urzes, silvas, giestas, tojos, zambujeiro).	TRUE	TRUE	v1.0	88	07	Ocupação do solo	07.01	Área agrícola, florestal ou mato	AreaAgricolaFlorestalMato	2D
valorareasartificializadas	1	Equipamentos de saúde	Área associada aos equipamentos de saúde.	TRUE	TRUE	v1.0	88	07	Ocupação do solo	07.02	Área artificializada	AreasArtificializadas	2D
valorareasartificializadas	2	Equipamentos de educação	Área associada aos equipamentos de educação.	TRUE	TRUE	v1.0	88	07	Ocupação do solo	07.02	Área artificializada	AreasArtificializadas	2D
valorareasartificializadas	3	Equipamentos industriais	Área associada à atividade industrial.	TRUE	TRUE	v1.0	88	07	Ocupação do solo	07.02	Área artificializada	AreasArtificializadas	2D
valorareasartificializadas	4	Equipamentos comerciais ou de carácter geral	Área associada à atividade comercial e de carácter geral (inclui os empreendimentos turísticos, as grandes superfícies comerciais e outros equipamentos similares).	TRUE	TRUE	v1.0	88	07	Ocupação do solo	07.02	Área artificializada	AreasArtificializadas	2D
